row,col,latitude,longitude,population
0,0,27.624949,85.532266,39
0,1,27.624949,85.533274,31
0,2,27.624949,85.534282,47
0,3,27.624949,85.53529,21
0,4,27.624949,85.536298,16
0,5,27.624949,85.537306,10
0,6,27.624949,85.538314,36
0,7,27.624949,85.539322,41
0,8,27.624949,85.54033,23
0,9,27.624949,85.541338,56
0,10,27.624949,85.542346,28
1,0,27.623941,85.532266,8
1,1,27.623941,85.533274,28
1,2,27.623941,85.534282,41
1,3,27.623941,85.53529,49
1,4,27.623941,85.536298,18
1,5,27.623941,85.537306,5
1,6,27.623941,85.538314,21
1,7,27.623941,85.539322,34
1,8,27.623941,85.54033,31
1,9,27.623941,85.541338,47
1,10,27.623941,85.542346,55
2,0,27.622933,85.532266,0
2,1,27.622933,85.533274,41
2,2,27.622933,85.534282,49
2,3,27.622933,85.53529,15
2,4,27.622933,85.536298,43
2,5,27.622933,85.537306,13
2,6,27.622933,85.538314,47
2,7,27.622933,85.539322,31
2,8,27.622933,85.54033,21
2,9,27.622933,85.541338,60
2,10,27.622933,85.542346,18
3,0,27.621925,85.532266,5
3,1,27.621925,85.533274,65
3,2,27.621925,85.534282,28
3,3,27.621925,85.53529,21
3,4,27.621925,85.536298,26
3,5,27.621925,85.537306,49
3,6,27.621925,85.538314,31
3,7,27.621925,85.539322,26
3,8,27.621925,85.54033,36
3,9,27.621925,85.541338,68
3,10,27.621925,85.542346,23
4,0,27.620917,85.532266,60
4,1,27.620917,85.533274,73
4,2,27.620917,85.534282,10
4,3,27.620917,85.53529,57
4,4,27.620917,85.536298,39
4,5,27.620917,85.537306,23
4,6,27.620917,85.538314,44
4,7,27.620917,85.539322,49
4,8,27.620917,85.54033,49
4,9,27.620917,85.541338,70
4,10,27.620917,85.542346,16
5,0,27.619909,85.532266,31
5,1,27.619909,85.533274,57
5,2,27.619909,85.534282,5
5,3,27.619909,85.53529,34
5,4,27.619909,85.536298,31
5,5,27.619909,85.537306,18
5,6,27.619909,85.538314,41
5,7,27.619909,85.539322,8
5,8,27.619909,85.54033,3
5,9,27.619909,85.541338,46
5,10,27.619909,85.542346,44
6,0,27.618901,85.532266,49
6,1,27.618901,85.533274,33
6,2,27.618901,85.534282,64
6,3,27.618901,85.53529,54
6,4,27.618901,85.536298,41
6,5,27.618901,85.537306,66
6,6,27.618901,85.538314,67
6,7,27.618901,85.539322,67
6,8,27.618901,85.54033,23
6,9,27.618901,85.541338,64
6,10,27.618901,85.542346,97
7,0,27.617893,85.532266,15
7,1,27.617893,85.533274,18
7,2,27.617893,85.534282,31
7,3,27.617893,85.53529,28
7,4,27.617893,85.536298,13
7,5,27.617893,85.537306,66
7,6,27.617893,85.538314,67
7,7,27.617893,85.539322,67
7,8,27.617893,85.54033,8
7,9,27.617893,85.541338,5
7,10,27.617893,85.542346,10
8,0,27.616885,85.532266,28
8,1,27.616885,85.533274,31
8,2,27.616885,85.534282,21
8,3,27.616885,85.53529,88
8,4,27.616885,85.536298,8
8,5,27.616885,85.537306,66
8,6,27.616885,85.538314,67
8,7,27.616885,85.539322,67
8,8,27.616885,85.54033,5
8,9,27.616885,85.541338,5
8,10,27.616885,85.542346,21
9,0,27.615877,85.532266,10
9,1,27.615877,85.533274,21
9,2,27.615877,85.534282,52
9,3,27.615877,85.53529,73
9,4,27.615877,85.536298,47
9,5,27.615877,85.537306,21
9,6,27.615877,85.538314,10
9,7,27.615877,85.539322,62
9,8,27.615877,85.54033,57
9,9,27.615877,85.541338,15
9,10,27.615877,85.542346,23
10,0,27.614869,85.532266,10
10,1,27.614869,85.533274,18
10,2,27.614869,85.534282,62
10,3,27.614869,85.53529,73
10,4,27.614869,85.536298,81
10,5,27.614869,85.537306,36
10,6,27.614869,85.538314,28
10,7,27.614869,85.539322,39
10,8,27.614869,85.54033,54
10,9,27.614869,85.541338,28
10,10,27.614869,85.542346,21
